red_player_cards,blue_player_cards,war
81,27,false
80,28,false
79,29,false
80,28,false
81,27,false
80,28,false
79,29,false
86,22,true
85,23,false
86,22,false
87,21,false
88,20,false
87,21,false
88,20,false
87,21,false
86,22,false
85,23,false
86,22,false
87,21,false
88,20,false
89,19,false
88,20,false
89,19,false
88,20,false
89,19,false
90,18,false
91,17,false
90,18,false
89,19,false
88,20,false
89,19,false
88,20,false
89,19,false
88,20,false
87,21,false
86,22,false
90,18,true
91,17,false
92,16,false
91,17,false
90,18,false
89,19,false
88,20,false
89,19,false
93,15,true
92,16,false
93,15,false
94,14,false
95,13,false
96,12,false
92,16,true
91,17,false
95,13,true
96,12,false
95,13,false
94,14,false
95,13,false
96,12,false
95,13,false
96,12,false
95,13,false
96,12,false
97,11,false
98,10,false
99,9,false
98,10,false
94,14,true
93,15,false
94,14,false
90,18,true
91,17,false
87,21,true
88,20,false
81,27,true
85,23,true
86,22,false
87,21,false
88,20,false
89,19,false
90,18,false
89,19,false
88,20,false
89,19,false
88,20,false
87,21,false
86,22,false
87,21,false
86,22,false
85,23,false
86,22,false
85,23,false
84,24,false
85,23,false
84,24,false
83,25,false
87,21,true
86,22,false
85,23,false
86,22,false
87,21,false
86,22,false
85,23,false
86,22,false
85,23,false
86,22,false
87,21,false
88,20,false
89,19,false
88,20,false
89,19,false
90,18,false
89,19,false
90,18,false
91,17,false
92,16,false
93,15,false
92,16,false
93,15,false
92,16,false
93,15,false
92,16,false
91,17,false
87,21,true
88,20,false
89,19,false
88,20,false
89,19,false
88,20,false
87,21,false
88,20,false
87,21,false
86,22,false
87,21,false
86,22,false
87,21,false
86,22,false
85,23,false
84,24,false
85,23,false
86,22,false
85,23,false
84,24,false
83,25,false
82,26,false
81,27,false
80,28,false
79,29,false
78,30,false
77,31,false
76,32,false
77,31,false
78,30,false
77,31,false
76,32,false
75,33,false
74,34,false
75,33,false
79,29,true
75,33,true
76,32,false
75,33,false
76,32,false
75,33,false
74,34,false
75,33,false
76,32,false
77,31,false
76,32,false
77,31,false
76,32,false
75,33,false
74,34,false
75,33,false
76,32,false
77,31,false
78,30,false
79,29,false
80,28,false
79,29,false
80,28,false
79,29,false
78,30,false
79,29,false
80,28,false
79,29,false
78,30,false
79,29,false
78,30,false
79,29,false
78,30,false
79,29,false
80,28,false
79,29,false
80,28,false
81,27,false
82,26,false
83,25,false
84,24,false
85,23,false
84,24,false
85,23,false
84,24,false
83,25,false
82,26,false
81,27,false
82,26,false
83,25,false
84,24,false
85,23,false
84,24,false
85,23,false
84,24,false
83,25,false
82,26,false
81,27,false
80,28,false
81,27,false
80,28,false
84,24,true
85,23,false
86,22,false
87,21,false
86,22,false
87,21,false
88,20,false
87,21,false
86,22,false
85,23,false
86,22,false
85,23,false
86,22,false
85,23,false
84,24,false
83,25,false
84,24,false
83,25,false
82,26,false
83,25,false
79,29,true
80,28,false
81,27,false
82,26,false
83,25,false
82,26,false
81,27,false
80,28,false
79,29,false
78,30,false
79,29,false
78,30,false
79,29,false
75,33,true
74,34,false
75,33,false
76,32,false
77,31,false
76,32,false
77,31,false
76,32,false
75,33,false
76,32,false
72,36,true
73,35,false
72,36,false
76,32,true
75,33,false
74,34,false
75,33,false
74,34,false
73,35,false
72,36,false
71,37,false
70,38,false
69,39,false
68,40,false
67,41,false
66,42,false
67,41,false
68,40,false
67,41,false
66,42,false
65,43,false
64,44,false
68,40,true
67,41,false
66,42,false
65,43,false
66,42,false
65,43,false
64,44,false
63,45,false
59,49,true
58,50,false
57,51,false
58,50,false
59,49,false
58,50,false
57,51,false
58,50,false
57,51,false
56,52,false
55,53,false
56,52,false
55,53,false
56,52,false
55,53,false
54,54,false
55,53,false
54,54,false
58,50,true
57,51,false
58,50,false
59,49,false
58,50,false
59,49,false
60,48,false
59,49,false
58,50,false
59,49,false
58,50,false
59,49,false
58,50,false
57,51,false
56,52,false
57,51,false
56,52,false
57,51,false
58,50,false
57,51,false
53,55,true
52,56,false
53,55,false
54,54,false
55,53,false
56,52,false
57,51,false
56,52,false
55,53,false
56,52,false
57,51,false
58,50,false
59,49,false
63,45,true
64,44,false
63,45,false
62,46,false
63,45,false
59,49,true
58,50,false
59,49,false
60,48,false
59,49,false
60,48,false
61,47,false
60,48,false
59,49,false
60,48,false
59,49,false
60,48,false
61,47,false
62,46,false
61,47,false
60,48,false
61,47,false
60,48,false
61,47,false
60,48,false
64,44,true
65,43,false
64,44,false
63,45,false
62,46,false
61,47,false
62,46,false
61,47,false
62,46,false
61,47,false
60,48,false
61,47,false
60,48,false
59,49,false
58,50,false
57,51,false
56,52,false
55,53,false
54,54,false
55,53,false
56,52,false
57,51,false
58,50,false
57,51,false
56,52,false
55,53,false
54,54,false
53,55,false
52,56,false
51,57,false
50,58,false
51,57,false
50,58,false
49,59,false
48,60,false
52,56,true
51,57,false
50,58,false
49,59,false
48,60,false
49,59,false
50,58,false
49,59,false
50,58,false
49,59,false
48,60,false
49,59,false
50,58,false
51,57,false
50,58,false
51,57,false
52,56,false
51,57,false
50,58,false
49,59,false
50,58,false
51,57,false
55,53,true
54,54,false
55,53,false
56,52,false
55,53,false
54,54,false
55,53,false
54,54,false
53,55,false
52,56,false
51,57,false
55,53,true
54,54,false
55,53,false
54,54,false
53,55,false
52,56,false
48,60,true
47,61,false
48,60,false
49,59,false
48,60,false
49,59,false
50,58,false
49,59,false
50,58,false
49,59,false
50,58,false
49,59,false
48,60,false
49,59,false
48,60,false
47,61,false
46,62,false
45,63,false
46,62,false
47,61,false
46,62,false
45,63,false
44,64,false
43,65,false
44,64,false
45,63,false
46,62,false
45,63,false
44,64,false
45,63,false
46,62,false
47,61,false
46,62,false
42,66,true
41,67,false
42,66,false
43,65,false
44,64,false
45,63,false
46,62,false
45,63,false
44,64,false
43,65,false
44,64,false
43,65,false
44,64,false
45,63,false
44,64,false
43,65,false
44,64,false
43,65,false
44,64,false
45,63,false
46,62,false
47,61,false
46,62,false
45,63,false
44,64,false
43,65,false
47,61,true
48,60,false
47,61,false
48,60,false
49,59,false
48,60,false
52,56,true
53,55,false
54,54,false
53,55,false
54,54,false
50,58,true
51,57,false
52,56,false
51,57,false
50,58,false
54,54,true
55,53,false
56,52,false
57,51,false
58,50,false
59,49,false
58,50,false
59,49,false
58,50,false
57,51,false
58,50,false
57,51,false
58,50,false
59,49,false
60,48,false
59,49,false
60,48,false
59,49,false
60,48,false
61,47,false
60,48,false
61,47,false
60,48,false
59,49,false
58,50,false
59,49,false
58,50,false
59,49,false
60,48,false
59,49,false
58,50,false
59,49,false
58,50,false
57,51,false
56,52,false
52,56,true
53,55,false
52,56,false
53,55,false
54,54,false
55,53,false
56,52,false
57,51,false
56,52,false
57,51,false
58,50,false
62,46,true
63,45,false
62,46,false
58,50,true
59,49,false
60,48,false
59,49,false
60,48,false
59,49,false
58,50,false
57,51,false
58,50,false
59,49,false
58,50,false
57,51,false
58,50,false
57,51,false
58,50,false
59,49,false
58,50,false
59,49,false
60,48,false
59,49,false
60,48,false
59,49,false
58,50,false
59,49,false
58,50,false
57,51,false
56,52,false
55,53,false
51,57,true
50,58,false
49,59,false
48,60,false
47,61,false
46,62,false
42,66,true
43,65,false
42,66,false
41,67,false
42,66,false
41,67,false
40,68,false
41,67,false
40,68,false
39,69,false
40,68,false
39,69,false
38,70,false
37,71,false
36,72,false
37,71,false
36,72,false
37,71,false
36,72,false
35,73,false
34,74,false
35,73,false
34,74,false
33,75,false
34,74,false
35,73,false
34,74,false
33,75,false
34,74,false
38,70,true
37,71,false
36,72,false
35,73,false
36,72,false
37,71,false
38,70,false
37,71,false
38,70,false
39,69,false
40,68,false
39,69,false
38,70,false
37,71,false
36,72,false
37,71,false
36,72,false
35,73,false
34,74,false
35,73,false
36,72,false
37,71,false
36,72,false
37,71,false
38,70,false
39,69,false
40,68,false
39,69,false
40,68,false
41,67,false
42,66,false
38,70,true
34,74,true
35,73,false
36,72,false
35,73,false
36,72,false
35,73,false
34,74,false
35,73,false
34,74,false
35,73,false
36,72,false
37,71,false
33,75,true
32,76,false
33,75,false
34,74,false
33,75,false
34,74,false
38,70,true
37,71,false
38,70,false
39,69,false
40,68,false
39,69,false
38,70,false
39,69,false
38,70,false
39,69,false
38,70,false
39,69,false
38,70,false
37,71,false
38,70,false
39,69,false
38,70,false
37,71,false
36,72,false
35,73,false
39,69,true
38,70,false
39,69,false
38,70,false
39,69,false
40,68,false
36,72,true
35,73,false
34,74,false
35,73,false
36,72,false
35,73,false
34,74,false
35,73,false
34,74,false
35,73,false
34,74,false
33,75,false
32,76,false
33,75,false
34,74,false
33,75,false
32,76,false
31,77,false
32,76,false
31,77,false
32,76,false
31,77,false
30,78,false
31,77,false
32,76,false
33,75,false
32,76,false
31,77,false
32,76,false
33,75,false
34,74,false
35,73,false
34,74,false
35,73,false
34,74,false
33,75,false
32,76,false
33,75,false
34,74,false
33,75,false
32,76,false
31,77,false
32,76,false
31,77,false
30,78,false
31,77,false
32,76,false
33,75,false
32,76,false
33,75,false
34,74,false
33,75,false
32,76,false
31,77,false
32,76,false
31,77,false
30,78,false
29,79,false
28,80,false
29,79,false
30,78,false
31,77,false
30,78,false
29,79,false
28,80,false
29,79,false
28,80,false
29,79,false
30,78,false
29,79,false
30,78,false
31,77,false
32,76,false
33,75,false
40,68,true
39,69,false
40,68,false
39,69,false
38,70,false
37,71,false
38,70,false
37,71,false
38,70,false
37,71,false
36,72,false
35,73,false
